station_key,led_index,display_name,Borough,Line
CPLX_223,0,Lexington Av/63 St,M,63rd St
CPLX_222,1,Roosevelt Island,M,63rd St
CPLX_601,2,14 St,M,6th Av - Culver
CPLX_232,3,2 Av,M,6th Av - Culver
CPLX_228,4,23 St,M,6th Av - Culver
CPLX_607,5,34 St-Herald Sq,M,6th Av - Culver
CPLX_609,6,42 St-Bryant Pk,M,6th Av - Culver
CPLX_225,7,47-50 Sts-Rockefeller Ctr,M,6th Av - Culver
CPLX_224,8,57 St,M,6th Av - Culver
CPLX_619,9,Broadway-Lafayette St,M,6th Av - Culver
CPLX_625,10,Delancey St-Essex St,M,6th Av - Culver
CPLX_234,11,East Broadway,M,6th Av - Culver
CPLX_231,12,Grand St,M,6th Av - Culver
CPLX_167,13,W 4 St-Wash Sq,M,6th Av - Culver
CPLX_156,14,103 St,M,8th Av - Fulton St
CPLX_154,15,116 St,M,8th Av - Fulton St
CPLX_153,16,125 St,M,8th Av - Fulton St
CPLX_152,17,135 St,M,8th Av - Fulton St
CPLX_618,18,14 St,M,8th Av - Fulton St
CPLX_151,19,145 St,M,8th Av - Fulton St
CPLX_150,20,155 St,M,8th Av - Fulton St
CPLX_149,21,163 St-Amsterdam Av,M,8th Av - Fulton St
CPLX_605,22,168 St,M,8th Av - Fulton St
CPLX_147,23,175 St,M,8th Av - Fulton St
CPLX_146,24,181 St,M,8th Av - Fulton St
CPLX_145,25,190 St,M,8th Av - Fulton St
CPLX_165,26,23 St,M,8th Av - Fulton St
CPLX_164,27,34 St-Penn Station,M,8th Av - Fulton St
CPLX_611,28,42 St-Port Authority Bus Terminal,M,8th Av - Fulton St
CPLX_162,29,50 St,M,8th Av - Fulton St
CPLX_614,30,59 St-Columbus Circle,M,8th Av - Fulton St
CPLX_160,31,72 St,M,8th Av - Fulton St
CPLX_159,32,81 St-Museum of Natural History,M,8th Av - Fulton St
CPLX_158,33,86 St,M,8th Av - Fulton St
CPLX_157,34,96 St,M,8th Av - Fulton St
CPLX_169,35,Canal St,M,8th Av - Fulton St
CPLX_155,36,Cathedral Pkwy (110 St),M,8th Av - Fulton St
CPLX_624,37,Chambers St,M,8th Av - Fulton St
CPLX_144,38,Dyckman St,M,8th Av - Fulton St
CPLX_628,39,Fulton St,M,8th Av - Fulton St
CPLX_143,40,Inwood-207 St,M,8th Av - Fulton St
CPLX_168,41,Spring St,M,8th Av - Fulton St
CPLX_8,42,5 Av/59 St,M,Astoria
CPLX_613,43,Lexington Av/59 St,M,Astoria
CPLX_623,44,Canal St,M,Broadway
CPLX_20,45,City Hall,M,Broadway
CPLX_22,46,Rector St,M,Broadway
CPLX_635,47,Whitehall St-South Ferry,M,Broadway
CPLX_309,48,103 St,M,Broadway - 7Av
CPLX_307,49,116 St-Columbia University,M,Broadway - 7Av
CPLX_306,50,125 St,M,Broadway - 7Av
CPLX_305,51,137 St-City College,M,Broadway - 7Av
CPLX_304,52,145 St,M,Broadway - 7Av
CPLX_303,53,157 St,M,Broadway - 7Av
CPLX_321,54,18 St,M,Broadway - 7Av
CPLX_301,55,181 St,M,Broadway - 7Av
CPLX_300,56,191 St,M,Broadway - 7Av
CPLX_298,57,207 St,M,Broadway - 7Av
CPLX_297,58,215 St,M,Broadway - 7Av
CPLX_320,59,23 St,M,Broadway - 7Av
CPLX_319,60,28 St,M,Broadway - 7Av
CPLX_318,61,34 St-Penn Station,M,Broadway - 7Av
CPLX_316,62,50 St,M,Broadway - 7Av
CPLX_314,63,66 St-Lincoln Center,M,Broadway - 7Av
CPLX_313,64,72 St,M,Broadway - 7Av
